#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.82674  0.006854  0.003846  0.000606     1.782
   0.00556  0.99449  0.00079  0.84986  0.005801  0.003468  0.000794     1.673
   0.01446  0.98568  0.00204  0.87108  0.005071  0.003165  0.000961     1.602
   0.02412  0.97612  0.00339  0.88974  0.004549  0.002928  0.001108     1.554
   0.03462  0.96572  0.00485  0.90669  0.004145  0.002732  0.001242     1.517
   0.04607  0.95439  0.00643  0.92214  0.003823  0.002566  0.001363     1.490
   0.05849  0.94208  0.00813  0.93648  0.003556  0.002422  0.001475     1.468
   0.07183  0.92886  0.00995  0.94973  0.003331  0.002296  0.001578     1.451
   0.08593  0.91489  0.01185  0.96191  0.003140  0.002185  0.001672     1.437
   0.10059  0.90036  0.01380  0.97327  0.002974  0.002086  0.001760     1.426
   0.11565  0.88543  0.01579  0.98369  0.002830  0.001997  0.001840     1.417
   0.13103  0.87019  0.01780  0.99353  0.002701  0.001916  0.001915     1.410
   0.14663  0.85471  0.01982  1.00276  0.002585  0.001841  0.001985     1.404
   0.16239  0.83908  0.02183  1.01137  0.002480  0.001773  0.002051     1.399
   0.17825  0.82335  0.02383  1.01971  0.002383  0.001709  0.002114     1.394
   0.19417  0.80755  0.02581  1.02757  0.002293  0.001649  0.002174     1.391
   0.21013  0.79172  0.02776  1.03516  0.002209  0.001592  0.002232     1.388
   0.22611  0.77586  0.02970  1.04248  0.002130  0.001538  0.002288     1.385
   0.24209  0.75998  0.03160  1.04964  0.002055  0.001486  0.002344     1.383
   0.25808  0.74411  0.03347  1.05658  0.001983  0.001436  0.002398     1.381
   0.27406  0.72824  0.03531  1.06328  0.001916  0.001389  0.002450     1.380
   0.29003  0.71237  0.03712  1.06997  0.001850  0.001342  0.002503     1.378
   0.30599  0.69651  0.03889  1.07636  0.001788  0.001298  0.002554     1.377
   0.32193  0.68066  0.04063  1.08288  0.001726  0.001254  0.002607     1.376
   0.33786  0.66482  0.04234  1.08920  0.001667  0.001212  0.002658     1.375
   0.35377  0.64900  0.04400  1.09556  0.001610  0.001171  0.002711     1.374
   0.36966  0.63319  0.04562  1.10172  0.001554  0.001131  0.002762     1.374
   0.38553  0.61740  0.04721  1.10794  0.001500  0.001092  0.002814     1.373
   0.40138  0.60163  0.04875  1.11422  0.001446  0.001053  0.002868     1.373
   0.41720  0.58588  0.05025  1.12032  0.001395  0.001016  0.002921     1.373
   0.43300  0.57015  0.05170  1.12656  0.001344  0.000979  0.002976     1.373
   0.44876  0.55444  0.05311  1.13286  0.001293  0.000942  0.003033     1.373
   0.46450  0.53876  0.05447  1.13901  0.001245  0.000907  0.003089     1.373
   0.48021  0.52311  0.05578  1.14542  0.001196  0.000871  0.003149     1.373
   0.49588  0.50749  0.05703  1.15160  0.001149  0.000837  0.003207     1.373
   0.51152  0.49190  0.05824  1.15807  0.001102  0.000802  0.003270     1.374
   0.52712  0.47634  0.05938  1.16447  0.001056  0.000769  0.003332     1.374
   0.54268  0.46082  0.06047  1.17111  0.001010  0.000735  0.003400     1.374
   0.55819  0.44534  0.06150  1.17756  0.000966  0.000702  0.003465     1.375
   0.57365  0.42991  0.06246  1.18440  0.000921  0.000670  0.003537     1.376
   0.58906  0.41453  0.06335  1.19122  0.000878  0.000637  0.003611     1.377
   0.60440  0.39921  0.06418  1.19824  0.000834  0.000605  0.003689     1.378
   0.61969  0.38394  0.06493  1.20510  0.000792  0.000574  0.003766     1.379
   0.63490  0.36874  0.06561  1.21267  0.000749  0.000543  0.003856     1.380
   0.65004  0.35362  0.06621  1.21970  0.000708  0.000512  0.003939     1.381
   0.66509  0.33857  0.06673  1.22734  0.000666  0.000482  0.004035     1.383
   0.68004  0.32363  0.06716  1.23509  0.000625  0.000452  0.004135     1.384
   0.69489  0.30878  0.06749  1.24318  0.000585  0.000422  0.004244     1.386
   0.70962  0.29406  0.06774  1.25092  0.000546  0.000393  0.004350     1.388
   0.72420  0.27947  0.06788  1.25966  0.000505  0.000364  0.004478     1.390
   0.73863  0.26504  0.06792  1.26794  0.000467  0.000335  0.004603     1.393
   0.75288  0.25079  0.06785  1.27664  0.000429  0.000307  0.004742     1.395
   0.76693  0.23675  0.06766  1.28601  0.000391  0.000279  0.004904     1.398
   0.78074  0.22294  0.06737  1.29492  0.000354  0.000253  0.005069     1.401
   0.79427  0.20942  0.06695  1.30447  0.000317  0.000226  0.005266     1.404
   0.80748  0.19622  0.06641  1.31442  0.000281  0.000200  0.005505     1.406
   0.82033  0.18339  0.06575  1.32351  0.000245  0.000174  0.005776     1.407
   0.83276  0.17098  0.06498  1.33348  0.000210  0.000149  0.006142     1.404
   0.84473  0.15904  0.06409  1.34218  0.000176  0.000125  0.006515     1.406
   0.85619  0.14763  0.06310  1.35126  0.000149  0.000102  0.006409     1.458
   0.86710  0.13677  0.06200  1.35940  0.000145  0.000084  0.004413     1.721
   0.87742  0.12652  0.06083  1.38184  0.000206  0.000073  0.000682     2.824
   0.88714  0.11688  0.05957  1.38977  0.000203  0.000070  0.000497     2.919
   0.89625  0.10786  0.05826  1.39893  0.000192  0.000066  0.000544     2.901
   0.90477  0.09946  0.05690  1.40806  0.000181  0.000063  0.000593     2.884
   0.91270  0.09165  0.05549  1.41759  0.000170  0.000060  0.000674     2.846
   0.92007  0.08442  0.05406  1.42652  0.000159  0.000057  0.000753     2.816
   0.92693  0.07772  0.05261  1.43483  0.000150  0.000054  0.000828     2.794
   0.93330  0.07151  0.05115  1.44317  0.000140  0.000051  0.000931     2.759
   0.93924  0.06576  0.04967  1.45067  0.000132  0.000048  0.001033     2.731
   0.94477  0.06044  0.04819  1.45686  0.000125  0.000046  0.001092     2.730
   0.94993  0.05549  0.04671  1.46445  0.000116  0.000043  0.001253     2.682
   0.95476  0.05090  0.04522  1.47043  0.000109  0.000041  0.001411     2.644
   0.95928  0.04663  0.04372  1.47381  0.000104  0.000039  0.001472     2.649
   0.96354  0.04264  0.04223  1.47893  0.000097  0.000037  0.001670     2.607
   0.96755  0.03893  0.04073  1.48138  0.000091  0.000035  0.001801     2.592
   0.97133  0.03546  0.03922  1.48340  0.000086  0.000033  0.001972     2.568
   0.97491  0.03221  0.03771  1.48443  0.000080  0.000032  0.002195     2.534
   0.97831  0.02917  0.03619  1.48211  0.000076  0.000030  0.002292     2.537
   0.98154  0.02633  0.03466  1.48066  0.000071  0.000028  0.002516     2.511
