#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.16782E-02  0.11651E-03
   0.11051E-02  0.59978E-03
   0.65727E-03  0.12651E-02
   0.32858E-03  0.15514E-02
   0.11636E-03  0.22861E-02
   0.13010E-04  0.26091E-02
   0.12701E-04  0.33567E-02
   0.11676E-03  0.35381E-02
   0.33018E-03  0.40429E-02
   0.65902E-03  0.45496E-02
   0.11081E-02  0.47827E-02
   0.16818E-02  0.49104E-02
   0.23832E-02  0.53322E-02
   0.32145E-02  0.49543E-02
   0.41765E-02  0.53996E-02
   0.52697E-02  0.49293E-02
   0.64943E-02  0.49297E-02
   0.78503E-02  0.47892E-02
   0.93388E-02  0.44625E-02
   0.10960E-01  0.42705E-02
   0.12717E-01  0.40301E-02
   0.14612E-01  0.36475E-02
   0.16648E-01  0.34813E-02
   0.18830E-01  0.33114E-02
   0.21165E-01  0.29414E-02
   0.23660E-01  0.28281E-02
   0.26325E-01  0.25157E-02
   0.29171E-01  0.22923E-02
   0.32209E-01  0.21953E-02
   0.35456E-01  0.19718E-02
   0.38928E-01  0.18010E-02
   0.42643E-01  0.16696E-02
   0.46626E-01  0.14723E-02
   0.50900E-01  0.14110E-02
   0.55493E-01  0.12530E-02
   0.60436E-01  0.10919E-02
   0.65763E-01  0.10327E-02
   0.71510E-01  0.93102E-03
   0.77715E-01  0.82805E-03
   0.84417E-01  0.75321E-03
   0.91653E-01  0.67357E-03
   0.99459E-01  0.59340E-03
   0.10786      0.54350E-03
   0.11688      0.49737E-03
   0.12652      0.68157E-03
   0.13677      0.44129E-02
   0.14763      0.64087E-02
   0.15904      0.65145E-02
   0.17098      0.61424E-02
   0.18339      0.57761E-02
   0.19622      0.55053E-02
   0.20942      0.52658E-02
   0.22294      0.50688E-02
   0.23675      0.49037E-02
   0.25079      0.47421E-02
   0.26504      0.46031E-02
   0.27947      0.44778E-02
   0.29406      0.43496E-02
   0.30878      0.42436E-02
   0.32363      0.41346E-02
   0.33857      0.40348E-02
   0.35362      0.39395E-02
   0.36874      0.38562E-02
   0.38394      0.37661E-02
   0.39921      0.36891E-02
   0.41453      0.36110E-02
   0.42991      0.35375E-02
   0.44534      0.34650E-02
   0.46082      0.33996E-02
   0.47634      0.33323E-02
   0.49190      0.32695E-02
   0.50749      0.32068E-02
   0.52311      0.31489E-02
   0.53876      0.30889E-02
   0.55444      0.30331E-02
   0.57015      0.29762E-02
   0.58588      0.29210E-02
   0.60163      0.28683E-02
   0.61740      0.28142E-02
   0.63319      0.27617E-02
   0.64900      0.27106E-02
   0.66482      0.26579E-02
   0.68066      0.26065E-02
   0.69651      0.25536E-02
   0.71237      0.25032E-02
   0.72824      0.24501E-02
   0.74411      0.23978E-02
   0.75998      0.23438E-02
   0.77586      0.22883E-02
   0.79172      0.22320E-02
   0.80755      0.21741E-02
   0.82335      0.21143E-02
   0.83908      0.20506E-02
   0.85471      0.19853E-02
   0.87019      0.19149E-02
   0.88543      0.18397E-02
   0.90036      0.17601E-02
   0.91489      0.16725E-02
   0.92886      0.15784E-02
   0.94208      0.14751E-02
   0.95439      0.13628E-02
   0.96572      0.12415E-02
   0.97612      0.11080E-02
   0.98568      0.96103E-03
   0.99449      0.79380E-03
    1.0000      0.60607E-03
    1.0001       0.0000    
    1.0057       0.0000    
    1.0120       0.0000    
    1.0191       0.0000    
    1.0271       0.0000    
    1.0362       0.0000    
    1.0465       0.0000    
    1.0582       0.0000    
    1.0713       0.0000    
    1.0862       0.0000    
    1.1031       0.0000    
    1.1221       0.0000    
    1.1437       0.0000    
    1.1680       0.0000    
    1.1956       0.0000    
    1.2268       0.0000    
    1.2620       0.0000    
    1.3019       0.0000    
    1.3470       0.0000    
    1.3980       0.0000    
    1.4556       0.0000    
    1.5209       0.0000    
    1.5946       0.0000    
    1.6780       0.0000    
    1.7724       0.0000    
    1.8791       0.0000    
    1.9997       0.0000    

   0.23793E-02  0.36264E-03
   0.32100E-02  0.76718E-03
   0.41713E-02  0.11906E-02
   0.52642E-02  0.15075E-02
   0.64886E-02  0.17891E-02
   0.78447E-02  0.19023E-02
   0.93330E-02  0.22477E-02
   0.10954E-01  0.20586E-02
   0.12711E-01  0.24477E-02
   0.14605E-01  0.22378E-02
   0.16641E-01  0.24316E-02
   0.18823E-01  0.22287E-02
   0.21158E-01  0.23597E-02
   0.23653E-01  0.22268E-02
   0.26318E-01  0.21879E-02
   0.29163E-01  0.21192E-02
   0.32202E-01  0.20347E-02
   0.35448E-01  0.19581E-02
   0.38920E-01  0.19087E-02
   0.42636E-01  0.18270E-02
   0.46618E-01  0.17035E-02
   0.50892E-01  0.16758E-02
   0.55485E-01  0.15782E-02
   0.60428E-01  0.15191E-02
   0.65754E-01  0.14169E-02
   0.71501E-01  0.13418E-02
   0.77706E-01  0.12894E-02
   0.84408E-01  0.12084E-02
   0.91644E-01  0.11345E-02
   0.99449E-01  0.10838E-02
   0.10785      0.10113E-02
   0.11687      0.95434E-03
   0.12651      0.90591E-03
   0.13676      0.84057E-03
   0.14761      0.80331E-03
   0.15903      0.74212E-03
   0.17097      0.70799E-03
   0.18338      0.66211E-03
   0.19621      0.62974E-03
   0.20941      0.59016E-03
   0.22293      0.56041E-03
   0.23673      0.53007E-03
   0.25078      0.49967E-03
   0.26503      0.48206E-03
   0.27946      0.45009E-03
   0.29404      0.43252E-03
   0.30877      0.40904E-03
   0.32361      0.38914E-03
   0.33856      0.37275E-03
   0.35360      0.35716E-03
   0.36872      0.33683E-03
   0.38392      0.32524E-03
   0.39919      0.30696E-03
   0.41451      0.29581E-03
   0.42990      0.28383E-03
   0.44533      0.27461E-03
   0.46081      0.27045E-03
   0.47632      0.46526E-03
   0.49188      0.20874E-02
   0.50747      0.33525E-02
   0.52309      0.37537E-02
   0.53875      0.37369E-02
   0.55443      0.36164E-02
   0.57013      0.34991E-02
   0.58586      0.33918E-02
   0.60161      0.33031E-02
   0.61738      0.32229E-02
   0.63317      0.31560E-02
   0.64898      0.30923E-02
   0.66480      0.30337E-02
   0.68064      0.29799E-02
   0.69649      0.29268E-02
   0.71235      0.28764E-02
   0.72822      0.28270E-02
   0.74409      0.27791E-02
   0.75997      0.27305E-02
   0.77584      0.26836E-02
   0.79170      0.26363E-02
   0.80754      0.25883E-02
   0.82333      0.25393E-02
   0.83906      0.24901E-02
   0.85470      0.24376E-02
   0.87017      0.23852E-02
   0.88542      0.23295E-02
   0.90035      0.22691E-02
   0.91487      0.22064E-02
   0.92885      0.21364E-02
   0.94207      0.20607E-02
   0.95438      0.19775E-02
   0.96571      0.18815E-02
   0.97612      0.17668E-02
   0.98568      0.16166E-02
   0.99449      0.14070E-02
    1.0000      0.97839E-03
    1.0001       0.0000    
    1.0057       0.0000    
    1.0120       0.0000    
    1.0191       0.0000    
    1.0271       0.0000    
    1.0362       0.0000    
    1.0465       0.0000    
    1.0582       0.0000    
