#    x        Cp  
   1.00000  0.31650
   0.99449  0.27773
   0.98568  0.24122
   0.97612  0.20835
   0.96572  0.17791
   0.95439  0.14967
   0.94208  0.12301
   0.92886  0.09800
   0.91489  0.07473
   0.90036  0.05274
   0.88543  0.03236
   0.87019  0.01290
   0.85471 -0.00552
   0.83908 -0.02287
   0.82335 -0.03981
   0.80755 -0.05591
   0.79172 -0.07155
   0.77586 -0.08677
   0.75998 -0.10175
   0.74411 -0.11636
   0.72824 -0.13057
   0.71237 -0.14484
   0.69651 -0.15855
   0.68066 -0.17263
   0.66482 -0.18636
   0.64900 -0.20025
   0.63319 -0.21380
   0.61740 -0.22753
   0.60163 -0.24148
   0.58588 -0.25512
   0.57015 -0.26914
   0.55444 -0.28338
   0.53876 -0.29735
   0.52311 -0.31198
   0.50749 -0.32618
   0.49190 -0.34112
   0.47634 -0.35599
   0.46082 -0.37150
   0.44534 -0.38664
   0.42991 -0.40280
   0.41453 -0.41901
   0.39921 -0.43578
   0.38394 -0.45227
   0.36874 -0.47057
   0.35362 -0.48766
   0.33857 -0.50637
   0.32363 -0.52544
   0.30878 -0.54550
   0.29406 -0.56480
   0.27947 -0.58673
   0.26504 -0.60766
   0.25079 -0.62981
   0.23675 -0.65382
   0.22294 -0.67682
   0.20942 -0.70164
   0.19622 -0.72771
   0.18339 -0.75169
   0.17098 -0.77816
   0.15904 -0.80145
   0.14763 -0.82589
   0.13677 -0.84796
   0.12652 -0.90948
   0.11688 -0.93145
   0.10786 -0.95699
   0.09946 -0.98263
   0.09165 -1.00957
   0.08442 -1.03497
   0.07772 -1.05875
   0.07151 -1.08274
   0.06576 -1.10444
   0.06044 -1.12244
   0.05549 -1.14461
   0.05090 -1.16218
   0.04663 -1.17211
   0.04264 -1.18723
   0.03893 -1.19449
   0.03546 -1.20047
   0.03221 -1.20354
   0.02917 -1.19665
   0.02633 -1.19236
   0.02366 -1.18299
   0.02117 -1.15845
   0.01883 -1.13647
   0.01665 -1.09628
   0.01461 -1.05142
   0.01272 -1.00317
   0.01096 -0.93561
   0.00934 -0.85683
   0.00785 -0.76827
   0.00649 -0.66053
   0.00527 -0.54486
   0.00418 -0.42229
   0.00321 -0.27480
   0.00238 -0.13967
   0.00168  0.01755
   0.00111  0.16133
   0.00066  0.30743
   0.00033  0.44595
   0.00012  0.56353
   0.00001  0.67132
   0.00001  0.76920
   0.00012  0.84767
   0.00033  0.90972
   0.00066  0.95547
   0.00111  0.98768
   0.00168  0.99952
   0.00238  0.99538
   0.00321  0.97652
   0.00417  0.94412
   0.00526  0.89976
   0.00649  0.84723
   0.00784  0.79213
   0.00933  0.72760
   0.01095  0.66993
   0.01271  0.60367
   0.01461  0.54319
   0.01664  0.48002
   0.01882  0.42555
   0.02116  0.36765
   0.02365  0.31535
   0.02632  0.26602
   0.02916  0.21972
   0.03220  0.17725
   0.03545  0.13779
   0.03892  0.09930
   0.04264  0.06377
   0.04662  0.03394
   0.05089  0.00264
   0.05548 -0.02454
   0.06043 -0.05099
   0.06575 -0.07294
   0.07150 -0.09307
   0.07771 -0.11298
   0.08441 -0.12964
   0.09164 -0.14403
   0.09945 -0.15816
   0.10785 -0.16917
   0.11687 -0.17900
   0.12651 -0.18800
   0.13676 -0.19382
   0.14761 -0.20009
   0.15903 -0.20281
   0.17097 -0.20605
   0.18338 -0.20709
   0.19621 -0.20807
   0.20941 -0.20728
   0.22293 -0.20634
   0.23673 -0.20453
   0.25078 -0.20182
   0.26503 -0.19994
   0.27946 -0.19591
   0.29404 -0.19283
   0.30877 -0.18869
   0.32361 -0.18446
   0.33856 -0.18034
   0.35360 -0.17610
   0.36872 -0.17093
   0.38392 -0.16660
   0.39919 -0.16120
   0.41451 -0.15651
   0.42990 -0.15164
   0.44533 -0.14709
   0.46081 -0.14334
   0.47632 -0.14240
   0.49188 -0.11874
   0.50747 -0.11374
   0.52309 -0.11029
   0.53875 -0.10728
   0.55443 -0.10250
   0.57013 -0.09781
   0.58586 -0.09215
   0.60161 -0.08661
   0.61738 -0.08042
   0.63317 -0.07463
   0.64898 -0.06829
   0.66480 -0.06181
   0.68064 -0.05537
   0.69649 -0.04850
   0.71235 -0.04156
   0.72822 -0.03435
   0.74409 -0.02701
   0.75997 -0.01920
   0.77584 -0.01133
   0.79170 -0.00310
   0.80754  0.00555
   0.82333  0.01465
   0.83906  0.02408
   0.85470  0.03434
   0.87017  0.04490
   0.88542  0.05627
   0.90035  0.06871
   0.91487  0.08182
   0.92885  0.09644
   0.94207  0.11223
   0.95438  0.12949
   0.96571  0.14908
   0.97612  0.17201
   0.98568  0.20122
   0.99449  0.24087
   1.00000  0.31650
