#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           hk
   0.16782E-02   2.2295    
   0.11051E-02   2.2284    
   0.65727E-03   2.2092    
   0.32858E-03   2.2759    
   0.11636E-03   2.1940    
   0.13010E-04   2.2491    
   0.12701E-04   2.2066    
   0.11676E-03   2.2577    
   0.33018E-03   2.2360    
   0.65902E-03   2.2298    
   0.11081E-02   2.2505    
   0.16818E-02   2.2664    
   0.23832E-02   2.2479    
   0.32145E-02   2.3054    
   0.41765E-02   2.2651    
   0.52697E-02   2.3223    
   0.64943E-02   2.3165    
   0.78503E-02   2.3271    
   0.93388E-02   2.3564    
   0.10960E-01   2.3661    
   0.12717E-01   2.3823    
   0.14612E-01   2.4188    
   0.16648E-01   2.4224    
   0.18830E-01   2.4288    
   0.21165E-01   2.4730    
   0.23660E-01   2.4699    
   0.26325E-01   2.5114    
   0.29171E-01   2.5369    
   0.32209E-01   2.5340    
   0.35456E-01   2.5682    
   0.38928E-01   2.5918    
   0.42643E-01   2.6065    
   0.46626E-01   2.6492    
   0.50900E-01   2.6441    
   0.55493E-01   2.6825    
   0.60436E-01   2.7299    
   0.65763E-01   2.7311    
   0.71510E-01   2.7591    
   0.77715E-01   2.7938    
   0.84417E-01   2.8156    
   0.91653E-01   2.8463    
   0.99459E-01   2.8843    
   0.10786       2.9014    
   0.11688       2.9190    
   0.12652       2.8235    
   0.13677       1.7215    
   0.14763       1.4583    
   0.15904       1.4060    
   0.17098       1.4039    
   0.18339       1.4065    
   0.19622       1.4057    
   0.20942       1.4042    
   0.22294       1.4014    
   0.23675       1.3980    
   0.25079       1.3955    
   0.26504       1.3926    
   0.27947       1.3899    
   0.29406       1.3882    
   0.30878       1.3857    
   0.32363       1.3842    
   0.33857       1.3826    
   0.35362       1.3813    
   0.36874       1.3796    
   0.38394       1.3789    
   0.39921       1.3776    
   0.41453       1.3767    
   0.42991       1.3759    
   0.44534       1.3753    
   0.46082       1.3745    
   0.47634       1.3741    
   0.49190       1.3736    
   0.50749       1.3733    
   0.52311       1.3729    
   0.53876       1.3729    
   0.55444       1.3727    
   0.57015       1.3728    
   0.58588       1.3729    
   0.60163       1.3730    
   0.61740       1.3734    
   0.63319       1.3738    
   0.64900       1.3743    
   0.66482       1.3751    
   0.68066       1.3759    
   0.69651       1.3770    
   0.71237       1.3780    
   0.72824       1.3795    
   0.74411       1.3811    
   0.75998       1.3830    
   0.77586       1.3853    
   0.79172       1.3879    
   0.80755       1.3910    
   0.82335       1.3945    
   0.83908       1.3988    
   0.85471       1.4038    
   0.87019       1.4098    
   0.88543       1.4172    
   0.90036       1.4260    
   0.91489       1.4372    
   0.92886       1.4508    
   0.94208       1.4681    
