#  STEADY FLOW TEST DATA                           
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           nc
   0.16782E-02   0.0000    
   0.11051E-02  0.28852E-09
   0.65727E-03  0.58372E-09
   0.32858E-03  0.87599E-09
   0.11636E-03  0.11566E-08
   0.13010E-04  0.14351E-08
   0.12701E-04  0.17150E-08
   0.11676E-03  0.19962E-08
   0.33018E-03  0.22761E-08
   0.65902E-03  0.25586E-08
   0.11081E-02  0.28440E-08
   0.16818E-02  0.31283E-08
   0.23832E-02  0.34121E-08
   0.32145E-02  0.36929E-08
   0.41765E-02  0.39702E-08
   0.52697E-02  0.42439E-08
   0.64943E-02  0.45119E-08
   0.78503E-02  0.47758E-08
   0.93388E-02  0.50346E-08
   0.10960E-01  0.52884E-08
   0.12717E-01  0.55377E-08
   0.14612E-01  0.57821E-08
   0.16648E-01  0.60222E-08
   0.18830E-01  0.62595E-08
   0.21165E-01  0.64937E-08
   0.23660E-01  0.67255E-08
   0.26325E-01  0.69553E-08
   0.29171E-01  0.28901E-01
   0.32209E-01  0.77299E-01
   0.35456E-01  0.23617    
   0.38928E-01  0.47312    
   0.42643E-01  0.73386    
   0.46626E-01   1.0354    
   0.50900E-01   1.3667    
   0.55493E-01   1.7289    
   0.60436E-01   2.1698    
   0.65763E-01   2.6629    
   0.71510E-01   3.1947    
   0.77715E-01   3.8036    
   0.84417E-01   4.4891    
   0.91653E-01   5.2521    
   0.99459E-01   6.1168    
   0.10786       7.0707    
   0.11688       8.0889    

   0.23793E-02   0.0000    
   0.32100E-02  0.29303E-09
   0.41713E-02  0.58426E-09
   0.52642E-02  0.87694E-09
   0.64886E-02  0.11678E-08
   0.78447E-02  0.14529E-08
   0.93330E-02  0.17355E-08
   0.10954E-01  0.20138E-08
   0.12711E-01  0.22882E-08
   0.14605E-01  0.25611E-08
   0.16641E-01  0.28312E-08
   0.18823E-01  0.30987E-08
   0.21158E-01  0.33641E-08
   0.23653E-01  0.36290E-08
   0.26318E-01  0.38926E-08
   0.29163E-01  0.41560E-08
   0.32202E-01  0.44195E-08
   0.35448E-01  0.46837E-08
   0.38920E-01  0.49496E-08
   0.42636E-01  0.52182E-08
   0.46618E-01  0.54893E-08
   0.50892E-01  0.57639E-08
   0.55485E-01  0.60433E-08
   0.60428E-01  0.63278E-08
   0.65754E-01  0.66179E-08
   0.71501E-01  0.69137E-08
   0.77706E-01  0.72164E-08
   0.84408E-01  0.75263E-08
   0.91644E-01  0.78432E-08
   0.99449E-01  0.81673E-08
   0.10785      0.84983E-08
   0.11687      0.88352E-08
   0.12651      0.91775E-08
   0.13676      0.12044    
   0.14761      0.32459    
   0.15903      0.58398    
   0.17097      0.87158    
   0.18338       1.1688    
   0.19621       1.4767    
   0.20941       1.7950    
   0.22293       2.1244    
   0.23673       2.4619    
   0.25078       2.8114    
   0.26503       3.1646    
   0.27946       3.5272    
   0.29404       3.9015    
   0.30877       4.2827    
   0.32361       4.6763    
   0.33856       5.0771    
   0.35360       5.4825    
   0.36872       5.9014    
   0.38392       6.3305    
   0.39919       6.7703    
   0.41451       7.2223    
   0.42990       7.6790    
   0.44533       8.1392    
   0.46081       8.5911    

