  
       XFOIL         Version 6.96
  
 Calculated polar for: STEADY FLOW TEST DATA                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.4313   0.00599   0.00134  -0.0065   0.5625   0.0989
  -3.500  -0.3778   0.00592   0.00122  -0.0056   0.5193   0.1116
  -3.000  -0.3242   0.00586   0.00112  -0.0048   0.4784   0.1259
  -2.500  -0.2704   0.00579   0.00103  -0.0039   0.4390   0.1435
  -2.000  -0.2164   0.00576   0.00096  -0.0031   0.3985   0.1612
  -1.500  -0.1624   0.00572   0.00090  -0.0023   0.3611   0.1823
  -1.000  -0.1085   0.00570   0.00086  -0.0015   0.3237   0.2072
  -0.500  -0.0543   0.00568   0.00083  -0.0008   0.2929   0.2342
   0.000   0.0000   0.00567   0.00082   0.0000   0.2618   0.2621
   0.500   0.0542   0.00568   0.00083   0.0008   0.2332   0.2919
   1.000   0.1084   0.00570   0.00086   0.0015   0.2066   0.3240
   1.500   0.1622   0.00572   0.00090   0.0023   0.1823   0.3632
   2.000   0.2164   0.00576   0.00096   0.0031   0.1613   0.3977
   2.500   0.2703   0.00580   0.00103   0.0039   0.1426   0.4381
   3.000   0.3243   0.00586   0.00112   0.0047   0.1261   0.4762
   3.500   0.3777   0.00592   0.00122   0.0056   0.1116   0.5203
   4.000   0.4314   0.00600   0.00134   0.0065   0.0989   0.5607
   4.500   0.4847   0.00608   0.00147   0.0074   0.0889   0.6053
   5.000   0.5376   0.00619   0.00163   0.0084   0.0782   0.6478
   5.500   0.5903   0.00629   0.00179   0.0094   0.0710   0.6931
   6.000   0.6428   0.00641   0.00197   0.0105   0.0643   0.7362
   6.500   0.6946   0.00655   0.00217   0.0116   0.0582   0.7792
   7.000   0.7459   0.00671   0.00239   0.0129   0.0527   0.8204
   7.500   0.7963   0.00688   0.00262   0.0144   0.0480   0.8608
   8.000   0.8461   0.00705   0.00286   0.0160   0.0445   0.8995
   8.500   0.8945   0.00724   0.00311   0.0178   0.0414   0.9372
   9.000   0.9472   0.00749   0.00341   0.0187   0.0382   0.9700
   9.500   1.0182   0.00788   0.00377   0.0155   0.0351   0.9825
  10.000   1.0866   0.00830   0.00415   0.0127   0.0321   0.9865
  10.500   1.1508   0.00871   0.00453   0.0109   0.0303   0.9894
  11.000   1.2066   0.00912   0.00491   0.0109   0.0285   0.9935
  11.500   1.2637   0.00959   0.00535   0.0105   0.0264   0.9961
  12.000   1.3237   0.01003   0.00577   0.0094   0.0253   0.9976
  12.500   1.3825   0.01055   0.00626   0.0085   0.0236   0.9987
  13.000   1.4409   0.01105   0.00675   0.0077   0.0226   0.9995
  13.500   1.4978   0.01164   0.00731   0.0070   0.0211   1.0000
  14.000   1.5369   0.01211   0.00778   0.0101   0.0206   1.0000
   3.000   0.3243   0.00586   0.00112   0.0047   0.1261   0.4762
